spec_original;spec_tipo;spec_min;spec_max;spec_descricao;frequencia
190,0 - 220,0;RANGE;190.0;220.0;;2
6,0 - 8,0;RANGE;6.0;8.0;;8
líquido livre de material estranho;DESCRITIVA;;;líquido livre de material estranho;2
1,0 máx.;MAXIMO;;1.0;;20
 ----;SEM_SPEC;;;;2
0,1 máx.;MAXIMO;;0.1;;4
94,0 mín;MINIMO;94.0;;;2
6,0 máx.;MAXIMO;;6.0;;4
7,0 máx.;MAXIMO;;7.0;;2
líquido claro a escuro, solido se frio;DESCRITIVA;;;líquido claro a escuro, solido se frio;2
0,20 máx.;MAXIMO;;0.2;;4
95 - 100;RANGE;95.0;100.0;;2
substancialmente livre;DESCRITIVA;;;substancialmente livre;5
9,0 máx.;MAXIMO;;9.0;;2
900 - 1000000;RANGE;900.0;1000000.0;;2
125 máx.;MAXIMO;;125.0;;2
flocos amarelados;DESCRITIVA;;;flocos amarelados;2
52,0 - 57,0;RANGE;52.0;57.0;;2
3 máx.;MAXIMO;;3.0;;8
13,0 - 25,0;RANGE;13.0;25.0;;2
2,0 máx.;MAXIMO;;2.0;;10
330,0 - 358,0;RANGE;330.0;358.0;;2
8,0 máx.;MAXIMO;;8.0;;10
3,0 -11,0;RANGE;3.0;11.0;;2
158,0 - 170,0;RANGE;158.0;170.0;;2
5,0 máx.;MAXIMO;;5.0;;8
235,0 - 260,0;RANGE;235.0;260.0;;2
10,0 máx.;MAXIMO;;10.0;;20
5,0 - 9,0;RANGE;5.0;9.0;;2
147,0 - 157,0;RANGE;147.0;157.0;;2
195,0 - 215,0;RANGE;195.0;215.0;;2
3,0 - 11,0;RANGE;3.0;11.0;;2
145,0 - 160,0;RANGE;145.0;160.0;;2
8,5 máx.;MAXIMO;;8.5;;2
10 máx.;MAXIMO;;10.0;;12
40,0 - 60,0;RANGE;40.0;60.0;;4
14,0 - 25,0;RANGE;14.0;25.0;;2
7,0 - 15,0;RANGE;7.0;15.0;;2
7,0  máx.;MAXIMO;;7.0;;2
11,0  máx.;MAXIMO;;11.0;;2
3,0 máx.;MAXIMO;;3.0;;8
